time,TC01,TC02,TC04,TC05,TC06,TC07,TC08,TC09,TC10,TC12,TC14,TC15,TC16,TC17,TC18,TC20,TC21,TC23,TC24,TC26,TC27,TC28,レベル,鋳込速度,SN開度,鋳込長,TD重量,MD冷却水流量A面内,MD冷却水流量C面外,MD冷却水流量D面右,MD冷却水温度D面右,(TC03:TC04)P,(TC03:TC04)C,(TC07:TC08)P,(TC07:TC08)C,(TC12:TC13)P,(TC12:TC13)C,(TC17:TC18)P,(TC17:TC18)C,(TC21:TC22)P,(TC21:TC22)C,(TC24:TC25)P,(TC24:TC25)C,(TC26:TC27)P,(TC26:TC27)C,(TC03:TC06)P,(TC03:TC06)C,(TC03:TC02)P,(TC03:TC02)C,(TC10:TC08)P,(TC10:TC08)C,(TC17:TC16)P,(TC17:TC16)C,(TC17:TC20)P,(TC17:TC20)C,(TC24:TC22)P,(TC24:TC22)C,(TC24:TC27)P,(TC24:TC27)C,(TC10:TC11)P,(TC10:TC11)C,(TC01:TC02)P,(TC01:TC02)C,(TC05:TC06)P,(TC05:TC06)C,(TC15:TC16)P,(TC15:TC16)C,(TC19:TC20)P,(TC19:TC20)C,(TC07:TC11)P,(TC07:TC11)C,(TC12:TC11)P,(TC12:TC11)C,(TC05:TC04)P,(TC05:TC04)C,(TC01:TC04)P,(TC01:TC04)C,(TC19:TC18)P,(TC19:TC18)C,(TC15:TC18)P,(TC15:TC18)C,(TC07:TC06)P,(TC07:TC06)C,(TC12:TC16)P,(TC12:TC16)C,(TC05:TC08)P,(TC05:TC08)C,(TC15:TC13)P,(TC15:TC13)C,(TC26:TC25)P,(TC26:TC25)C,(TC21:TC25)P,(TC21:TC25)C,(TC10:TC13)P,(TC10:TC13)C,(TC21:TC20)P,(TC21:TC20)C,(TC19:TC22)P,(TC19:TC22)C,(TC01:TC27)P,(TC01:TC27)C,(TC26:TC02)P,(TC26:TC02)C,(TC27:TC28)P,(TC27:TC28)C,(TC22:TC23)P,(TC22:TC23)C,(TC08:TC09)P,(TC08:TC09)C,(TC13:TC14)P,(TC13:TC14)C,
'05:36:08:000,39.100000,43.100000,48.000000,33.000000,43.800000,29.000000,44.300000,37.100000,36.800000,31.500000,41.100000,38.200000,41.800000,42.400000,48.600000,41.800000,33.000000,32.400000,33.500000,36.600000,42.700000,42.500000,-93.900000,0.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:08:500,40.600000,43.700000,48.600000,34.400000,44.400000,29.900000,44.900000,37.300000,38.000000,32.900000,41.600000,39.000000,42.400000,43.800000,49.300000,42.200000,34.200000,32.700000,35.000000,37.700000,43.100000,42.900000,-93.300000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:09:000,42.000000,44.200000,49.100000,35.600000,44.900000,30.800000,45.600000,37.600000,39.100000,34.200000,41.800000,39.800000,43.000000,45.000000,49.900000,42.600000,35.300000,33.000000,36.300000,38.800000,43.300000,43.300000,-92.900000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:09:500,43.300000,44.800000,49.500000,36.900000,45.300000,31.500000,45.900000,37.900000,40.000000,35.400000,42.300000,40.600000,43.500000,46.200000,50.300000,42.700000,36.300000,33.400000,37.500000,39.900000,43.400000,43.500000,-92.700000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:10:000,44.600000,45.300000,49.800000,38.000000,45.800000,32.100000,46.200000,38.100000,40.800000,36.600000,42.500000,41.400000,44.000000,47.300000,50.500000,42.800000,37.200000,33.800000,38.700000,41.000000,43.400000,43.700000,-92.400000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:10:500,45.700000,45.900000,49.800000,38.700000,46.400000,33.300000,47.000000,37.900000,41.900000,38.100000,42.500000,42.200000,44.900000,48.200000,51.000000,43.200000,37.800000,34.100000,39.900000,42.000000,43.400000,43.700000,-92.300000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:11:000,47.000000,45.800000,50.100000,40.100000,46.200000,34.100000,46.800000,38.200000,43.800000,39.400000,43.700000,42.400000,44.500000,49.200000,51.400000,43.600000,38.900000,34.000000,41.100000,42.900000,43.500000,43.800000,-92.500000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:11:500,47.800000,46.500000,50.000000,40.600000,46.900000,34.900000,47.100000,38.200000,44.100000,40.400000,43.700000,43.200000,45.300000,49.900000,51.400000,43.700000,39.400000,34.400000,41.800000,43.800000,43.200000,43.700000,-92.600000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:12:000,49.000000,46.300000,50.100000,41.800000,46.600000,35.800000,47.000000,38.400000,46.000000,41.600000,44.900000,43.400000,44.900000,50.600000,52.000000,44.200000,40.400000,34.200000,42.800000,44.500000,43.300000,43.600000,-92.600000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
'05:36:12:500,49.800000,47.000000,50.000000,42.300000,47.200000,36.500000,47.100000,38.400000,45.800000,42.300000,44.900000,44.200000,45.600000,51.200000,51.800000,44.300000,40.800000,34.800000,43.400000,45.100000,43.000000,43.400000,-92.800000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
