time,#1,#2,#4,#5,#6,#7,#8,#9,#10,#12,#14,#15,#16,Level,Vc,(#3:#4)P,(#3:#4)C,(#7:#8)P,(#7:#8)C,(#12:#13)P,(#12:#13)C,(#17:#18)P,(#17:#18)C,(#21:#22)P,(#21:#22)C,(#24:#25)P,(#24:#25)C,(#26:#27)P,(#26:#27)C,(#3:#6)P,(#3:#6)C,(#3:#2)P,(#3:#2)C,(#10:#8)P,(#10:#8)C,(#17:#16)P,(#17:#16)C,(#17:#20)P,(#17:#20)C,(#24:#22)P,(#24:#22)C,(#24:#27)P,(#24:#27)C,(#10:#11)P,(#10:#11)C,(#1:#2)P,(#1:#2)C,(#5:#6)P,(#5:#6)C,(#15:#16)P,(#15:#16)C,(#19:#20)P,(#19:#20)C,(#7:#11)P,(#7:#11)C,(#12:#11)P,(#12:#11)C,(#5:#4)P,(#5:#4)C,(#1:#4)P,(#1:#4)C,(#19:#18)P,(#19:#18)C,(#15:#18)P,(#15:#18)C,(#7:#6)P,(#7:#6)C,(#12:#16)P,(#12:#16)C,(#5:#8)P,(#5:#8)C,(#15:#13)P,(#15:#13)C,(#26:#25)P,(#26:#25)C,(#21:#25)P,(#21:#25)C,(#10:#13)P,(#10:#13)C,(#21:#20)P,(#21:#20)C,(#19:#22)P,(#19:#22)C,(#1:#27)P,(#1:#27)C,(#26:#2)P,(#26:#2)C,(#27:#28)P,(#27:#28)C,(#22:#23)P,(#22:#23)C,(#8:#9)P,(#8:#9)C,(#13:#14)P,(#13:#14)C,
'09:07:09:496,0.000000,0.000000,76.400000,96.000000,83.800000,0.000000,0.000000,52.700000,0.000000,0.000000,0.000000,0.000000,0.000000,88.500000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.002101,0.010690,0.000000,0.000000,0.000000,0.000000,0.002763,0.010753,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010877,0.020958,0.010877,0.020958,0.000000,0.000000,0.012607,0.021203,0.000000,0.000000,0.002240,0.010703,0.007730,0.011237,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044142,0.026343,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000002,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.003101,0.010785,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,76.800000,95.700000,83.500000,0.000000,0.000000,53.100000,0.000000,0.000000,0.000000,0.000000,0.000000,89.200000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.002919,0.010768,0.000000,0.000000,0.000000,0.000000,0.003074,0.010782,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010693,0.020931,0.010693,0.020931,0.000000,0.000000,0.008247,0.020590,0.000000,0.000000,0.002240,0.010703,0.007984,0.011262,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016846,0.021821,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000002,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.004328,0.010903,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,77.200000,94.700000,83.800000,0.000000,0.000000,53.300000,0.000000,0.000000,0.000000,0.000000,0.000000,89.400000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.003564,0.010829,0.000000,0.000000,0.000000,0.000000,0.003639,0.010836,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010740,0.020938,0.010740,0.020938,0.000000,0.000000,0.002792,0.019852,0.000000,0.000000,0.002240,0.010703,0.011386,0.011608,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011390,0.021030,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000002,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.008824,0.011346,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,77.700000,94.500000,83.500000,0.000000,0.000000,53.600000,0.000000,0.000000,0.000000,0.000000,0.000000,90.300000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.004140,0.010884,0.000000,0.000000,0.000000,0.000000,0.004481,0.010917,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010543,0.020910,0.010543,0.020910,0.000000,0.000000,0.004074,0.020023,0.000000,0.000000,0.002240,0.010703,0.011761,0.011647,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010770,0.020942,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000001,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.017436,0.012253,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,78.200000,93.500000,83.900000,0.000000,0.000000,53.800000,0.000000,0.000000,0.000000,0.000000,0.000000,90.500000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.005938,0.011059,0.000000,0.000000,0.000000,0.000000,0.005311,0.010998,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010779,0.020944,0.010779,0.020944,0.000000,0.000000,0.009114,0.020710,0.000000,0.000000,0.002240,0.010703,0.014543,0.011940,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012579,0.021199,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000001,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.071837,0.020147,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,78.800000,93.100000,83.800000,0.000000,0.000000,54.100000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.005160,0.010983,0.000000,0.000000,0.000000,0.000000,0.006571,0.011122,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010813,0.020948,0.010813,0.020948,0.000000,0.000000,0.005919,0.020271,0.000000,0.000000,0.002240,0.010703,0.014975,0.011986,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011721,0.021077,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000085,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.139568,0.038267,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,79.400000,92.100000,84.200000,0.000000,0.000000,54.100000,0.000000,0.000000,0.000000,0.000000,0.000000,91.300000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.007245,0.011188,0.000000,0.000000,0.000000,0.000000,0.007492,0.011213,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.012936,0.021251,0.012936,0.021251,0.000000,0.000000,0.004438,0.020071,0.000000,0.000000,0.002240,0.010703,0.016895,0.012194,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011145,0.020995,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000128,0.010706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.230758,0.091800,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,80.100000,91.800000,84.000000,0.000000,0.000000,54.300000,0.000000,0.000000,0.000000,0.000000,0.000000,92.000000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.006253,0.011090,0.000000,0.000000,0.000000,0.000000,0.009383,0.011403,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.012284,0.021157,0.012284,0.021157,0.000000,0.000000,0.003812,0.019988,0.000000,0.000000,0.002240,0.010703,0.017313,0.012239,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010511,0.020906,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000033,0.010700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.298995,0.171721,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,80.300000,90.900000,84.600000,0.000000,0.000000,54.200000,0.000000,0.000000,0.000000,0.000000,0.000000,92.000000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.009321,0.011397,0.000000,0.000000,0.000000,0.000000,0.010870,0.011555,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.034788,0.024680,0.034788,0.024680,0.000000,0.000000,0.003181,0.019904,0.000000,0.000000,0.002240,0.010703,0.019693,0.012503,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000031,0.010700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.079424,0.021625,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
'09:07:09:496,0.000000,0.000000,80.500000,90.600000,84.500000,0.000000,0.000000,54.300000,0.000000,0.000000,0.000000,0.000000,0.000000,92.600000,0.000000,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,0.009768,0.011442,0.000000,0.000000,0.000000,0.000000,0.011610,0.011631,0.000000,0.000000,0.000000,0.000000,0.010469,0.020900,0.024056,0.022920,0.024056,0.022920,0.000000,0.000000,0.004709,0.020108,0.000000,0.000000,0.002240,0.010703,0.016894,0.012194,0.002240,0.010703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010466,0.020900,0.010469,0.020900,0.000000,0.000000,0.010469,0.020900,0.000000,0.010698,0.000000,0.010698,0.000008,0.010698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.010698,0.000000,0.000000,0.000000,0.010698,0.000000,0.010698,0.056257,0.017438,0.000000,0.000000,0.002240,0.010703,0.000000,0.000000,
